period,dlt_doubao-seed-2-0-pro,grok-4.20-beta-0309-reasoning,dlt-gpt-5.4,dlt_gemini-3.1-pro-preview,qwen3.5-plus,dlt_claude-sonnet-4-6,dlt_deepseek-v3.2,dlt_deepseek-reasoner
26010,1,0,0,0,0,0,1,1
26011,1,0,0,1,0,1,1,1
26012,0,0,2,1,1,1,2,1
26013,1,0,1,1,1,0,0,1
26014,1,0,1,0,0,0,1,2
26015,1,0,3,1,1,3,1,0
26016,2,0,2,3,1,3,3,2
26017,1,0,1,0,1,1,1,1
26018,2,0,2,1,1,2,1,2
26019,1,0,0,0,1,0,1,0
26020,0,0,0,0,1,0,1,0
26021,0,0,1,0,0,0,0,1
26022,0,0,0,1,0,0,0,1
26023,1,0,1,2,1,1,2,0
26024,0,0,0,0,1,1,2,2
26025,4,0,4,1,3,2,2,2
26026,2,0,1,1,1,1,1,1
26027,0,0,0,0,1,1,0,0
26028,2,0,2,2,2,1,1,0
26029,3,1,1,1,1,0,1,0
26030,1,1,2,0,1,1,1,1
26031,0,1,1,0,1,1,2,1
26032,2,1,0,0,1,1,0,2
26033,1,3,1,0,2,2,1,2
26034,3,3,1,1,2,1,0,1
26035,0,0,0,0,0,0,0,0
26036,2,0,1,0,0,1,1,1
26037,1,0,0,0,1,2,0,1
26038,3,1,0,2,1,0,1,1
26039,3,1,1,0,1,1,1,1
26040,0,1,1,0,0,1,0,0
26041,0,1,2,3,1,2,1,0
